author_id,work_id,seq,latin_name,greek_name,latin_title,greek_title,english_title,cts_urn,cts_confirmed,exportable
0007,094,94,Plutarchus,Πλούταρχος,De virtute morali,Περὶ τῆς ἠθικῆς ἀρετῆς,,urn:cts:greekLit:tlg0007.tlg094,1,1
0007,095,95,Plutarchus,Πλούταρχος,De cohibenda ira,Περὶ ἀοπγησίας,,urn:cts:greekLit:tlg0007.tlg095,1,1
0007,096,96,Plutarchus,Πλούταρχος,De tranquilitate animi,Περὶ εὐθυμίας,,urn:cts:greekLit:tlg0007.tlg096,1,1
0007,097,97,Plutarchus,Πλούταρχος,De fraterno amore,Περὶ φιλαδελφίας,,urn:cts:greekLit:tlg0007.tlg097,1,1
0007,098,98,Plutarchus,Πλούταρχος,De amore prolis,Περὶ τῆς εἰς τὰ ἔκγονα φιλοστοργίας,,urn:cts:greekLit:tlg0007.tlg098,1,1
0007,099,99,Plutarchus,Πλούταρχος,An vitiositas ad infelicitatem sufficia,Εἰ αὐτάρκης ἡ κακία πρὸς κακοδαιμονίαν,,urn:cts:greekLit:tlg0007.tlg099,1,1
0007,100,100,Plutarchus,Πλούταρχος,Animine an corporis affectiones sint peiores,Ποτερον τὰ τῆς ψυχῆς ἢ τὰ τοῦ σώματος πάθη χείρονα,,urn:cts:greekLit:tlg0007.tlg100,1,1
0007,101,101,Plutarchus,Πλούταρχος,De garrulitate,Περὶ ἀδολεσχίας,,urn:cts:greekLit:tlg0007.tlg101,1,1
0007,102,102,Plutarchus,Πλούταρχος,De curiositate,Περὶ πολυπραγμοσύνης,,urn:cts:greekLit:tlg0007.tlg102,1,1
0007,103,103,Plutarchus,Πλούταρχος,De cupiditate divitiarum,Περὶ φιλοπλουτίας,,urn:cts:greekLit:tlg0007.tlg103,1,1
0007,104,104,Plutarchus,Πλούταρχος,De vitioso pudore,Περὶ δυσωπίας,,urn:cts:greekLit:tlg0007.tlg104,1,1
0007,105,105,Plutarchus,Πλούταρχος,De invidia et odio,Περὶ φθόνου καὶ μίσους,,urn:cts:greekLit:tlg0007.tlg105,1,1
0007,106,106,Plutarchus,Πλούταρχος,De Se Ipsum Citra Invidiam Laudando,Περὶ τοῦ ἑαυτὸν ἐπαινεῖν ἀνεπιφθόνως,,urn:cts:greekLit:tlg0007.tlg106,1,1
0007,107,107,Plutarchus,Πλούταρχος,De sera numinis vindicta,Περὶ τῶν ὑπὸ τοῦ θείου βραδέως τιμωρουμένων,,urn:cts:greekLit:tlg0007.tlg107,1,1
0007,108,108,Plutarchus,Πλούταρχος,De fato,Περὶ εἱμαρμένης,,urn:cts:greekLit:tlg0007.tlg108,1,1
0007,109,109,Plutarchus,Πλούταρχος,De genio Socratis,Περὶ τοῦ Σωκράτους δαιμονίου,,urn:cts:greekLit:tlg0007.tlg109,1,1
0007,110,110,Plutarchus,Πλούταρχος,De exilio,Περὶ φυγῆς,,urn:cts:greekLit:tlg0007.tlg110,1,1
