author_id,author_name_latin,author_name_greek,author_name_english,epitheton,era,source,work_id,title_latin,title_english,title_greek,cts_urn,cts_confirmed
3331,Manuel I COMNENUS Imperator Nomograph.,Μανουήλ Α' Κομνηνός,Manuel I Comnenus Imperator,,12th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,002,Quaestio de matrimoniis,,,urn:cts:greekLit:tlg3331.tlg002,False
3332,ATHANASIUS Nomograph.,,Athanasius,et Rhet.,,tlg:post-e;bcdavasconcelos;wikidata,001,Novellae constitutiones,,,urn:cts:greekLit:tlg3332.tlg001,False
3332,ATHANASIUS Nomograph.,,Athanasius,et Rhet.,,tlg:post-e;bcdavasconcelos;wikidata,002,Epitome Syntagmatos,,,urn:cts:greekLit:tlg3332.tlg002,False
3333,Michael VIII PALAEOLOGUS Imperator Astrol. et Nomograph.,,Michael VIII Palaeologus Imperator,,13th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,De vita sua,,,urn:cts:greekLit:tlg3333.tlg001,False
3333,Michael VIII PALAEOLOGUS Imperator Astrol. et Nomograph.,,Michael VIII Palaeologus Imperator,,13th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,002,Typicon monasterii Archangeli Michaelis in monte Auxentio,,,urn:cts:greekLit:tlg3333.tlg002,False
3333,Michael VIII PALAEOLOGUS Imperator Astrol. et Nomograph.,,Michael VIII Palaeologus Imperator,,13th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,003,Novella sive prostagma Michaelis VIII Palaeologi imperatoris,,,urn:cts:greekLit:tlg3333.tlg003,False
3334,NICETAS ANCYRANUS,,Nicetas Ancyranus,Scr. Eccl.,,tlg:post-e;bcdavasconcelos,001,Oratio de ordinatione episcoporum,,,urn:cts:greekLit:tlg3334.tlg001,False
3334,NICETAS ANCYRANUS,,Nicetas Ancyranus,Scr. Eccl.,,tlg:post-e;bcdavasconcelos,002,Oratio ecclesiastica,,,urn:cts:greekLit:tlg3334.tlg002,False
3334,NICETAS ANCYRANUS,,Nicetas Ancyranus,Scr. Eccl.,,tlg:post-e;bcdavasconcelos,003,Oratio contra Alexium I imperatorem,,,urn:cts:greekLit:tlg3334.tlg003,False
3334,NICETAS ANCYRANUS,,Nicetas Ancyranus,Scr. Eccl.,,tlg:post-e;bcdavasconcelos,004,Oratio antirrhetica,,,urn:cts:greekLit:tlg3334.tlg004,False
3334,NICETAS ANCYRANUS,,Nicetas Ancyranus,Scr. Eccl.,,tlg:post-e;bcdavasconcelos,005,De matrimoniis,,,urn:cts:greekLit:tlg3334.tlg005,False
3335,NICETAS AMASENUS,,Nicetas Amasenus,Scr. Eccl.,,tlg:post-e;bcdavasconcelos;wikidata,001,Oratio de suffragiis,,,urn:cts:greekLit:tlg3335.tlg001,False
3336,THEOPHANES Caesarensis Hagiogr.,,Theophanes Caesarensis,,,tlg:post-e;bcdavasconcelos,001,Laudatio Theodori Grapti,,,urn:cts:greekLit:tlg3336.tlg001,False
3337,THEOGNOSTUS Hagiogr.,,Theognostus,et Scr. Eccl.,,tlg:post-e;bcdavasconcelos;wikidata,001,Encomium in dormitionem sanctissimae Deiparae,,,urn:cts:greekLit:tlg3337.tlg001,False
3338,NILUS,,Nilus,Scr. Eccl.,,tlg:post-e;bcdavasconcelos,001,Typicon monasterii Machaerados in Cypro,,,urn:cts:greekLit:tlg3338.tlg001,False
3339,Theodora RHAULAENA CANTACUZENA PALAEOLOGINA Hagiogr.,,Theodora Rhaulaena Cantacuzena Palaeologina,,,tlg:post-e;bcdavasconcelos,001,Vita Theophanis et Theodori Grapti,,,urn:cts:greekLit:tlg3339.tlg001,False
3340,EUTHYMIUS Sardianus,,Euthymius Sardianus,Scr. Eccl. et Theol.,8th–9th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Oratio de ordinatione episcoporum,,,urn:cts:greekLit:tlg3340.tlg001,False
3341,ALEXANDER Nicaeensis,,Alexander Nicaeensis,Epist. et Scr. Eccl.,,tlg:post-e;bcdavasconcelos,001,Epistulae,,,urn:cts:greekLit:tlg3341.tlg001,False
3342,JOANNES Latrensis,,Joannes Latrensis,Epist. et Scr. Eccl.,,tlg:post-e;bcdavasconcelos,001,Epistulae,,,urn:cts:greekLit:tlg3342.tlg001,False
3343,PHILETUS,,Philetus,Epist.,,tlg:post-e;bcdavasconcelos,001,Epistulae,,,urn:cts:greekLit:tlg3343.tlg001,False
3344,"NICEPHORUS Philosophus Hagiogr.,",,Nicephorus Philosophus,Phil. et Rhet.,9th–10th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Encomium in patriarcham Antonium II Cauleam,,,urn:cts:greekLit:tlg3344.tlg001,False
3345,CALLISTUS I Patriarcha,,Callistus I Patriarcha,Scr. Eccl. et Orat.,,tlg:post-e;bcdavasconcelos,001,Homilia adversus pseudoprophetas et pseudomagistros,,,urn:cts:greekLit:tlg3345.tlg001,False
3345,CALLISTUS I Patriarcha,,Callistus I Patriarcha,Scr. Eccl. et Orat.,,tlg:post-e;bcdavasconcelos,002,Homilia adversus maleficos,,,urn:cts:greekLit:tlg3345.tlg002,False
3345,CALLISTUS I Patriarcha,,Callistus I Patriarcha,Scr. Eccl. et Orat.,,tlg:post-e;bcdavasconcelos,003,Quinque homiliae contra Latinos,,,urn:cts:greekLit:tlg3345.tlg003,False
3345,CALLISTUS I Patriarcha,,Callistus I Patriarcha,Scr. Eccl. et Orat.,,tlg:post-e;bcdavasconcelos,004,Capitula de puritate animae,,,urn:cts:greekLit:tlg3345.tlg004,False
3345,CALLISTUS I Patriarcha,,Callistus I Patriarcha,Scr. Eccl. et Orat.,,tlg:post-e;bcdavasconcelos,005,Oratio in dormitionem Deiparae,,,urn:cts:greekLit:tlg3345.tlg005,False
3345,CALLISTUS I Patriarcha,,Callistus I Patriarcha,Scr. Eccl. et Orat.,,tlg:post-e;bcdavasconcelos,006,In decollationem sancti Joannis Baptistae,,,urn:cts:greekLit:tlg3345.tlg006,False
3345,CALLISTUS I Patriarcha,,Callistus I Patriarcha,Scr. Eccl. et Orat.,,tlg:post-e;bcdavasconcelos,007,In exaltationem venerandae crucis,,,urn:cts:greekLit:tlg3345.tlg007,False
3345,CALLISTUS I Patriarcha,,Callistus I Patriarcha,Scr. Eccl. et Orat.,,tlg:post-e;bcdavasconcelos,008,Encomium in Joannem IV Jejunatorem,,,urn:cts:greekLit:tlg3345.tlg008,False
3345,CALLISTUS I Patriarcha,,Callistus I Patriarcha,Scr. Eccl. et Orat.,,tlg:post-e;bcdavasconcelos,009,Vita Gregorii Sinaitae,,,urn:cts:greekLit:tlg3345.tlg009,False
3345,CALLISTUS I Patriarcha,,Callistus I Patriarcha,Scr. Eccl. et Orat.,,tlg:post-e;bcdavasconcelos,010,Περὶ δανείου,,,urn:cts:greekLit:tlg3345.tlg010,False
3345,CALLISTUS I Patriarcha,,Callistus I Patriarcha,Scr. Eccl. et Orat.,,tlg:post-e;bcdavasconcelos,011,Adversus Barlaamitas,,,urn:cts:greekLit:tlg3345.tlg011,False
3345,CALLISTUS I Patriarcha,,Callistus I Patriarcha,Scr. Eccl. et Orat.,,tlg:post-e;bcdavasconcelos,012,Homiliae adversus Gregoram,,,urn:cts:greekLit:tlg3345.tlg012,False
3345,CALLISTUS I Patriarcha,,Callistus I Patriarcha,Scr. Eccl. et Orat.,,tlg:post-e;bcdavasconcelos,013,In dictum evangelii: Regnum caelorum intra vos est,,,urn:cts:greekLit:tlg3345.tlg013,False
3346,Andreas CHRYSOBERGES,,Andreas Chrysoberges,Theol.,14th–15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Epistula ad Bessarionem,,,urn:cts:greekLit:tlg3346.tlg001,False
